Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Corporate_History
CMSIGBW,London Silver Price (Pence/Ounce),Commodity Prices,United Kingdom Pound,United Kingdom,GBP per Troy Ounce,Pence,Stock,none,
Date,Ticker,Close
12/31/1393,CMSIGBW,28.829
12/31/1394,CMSIGBW,28.829
12/31/1395,CMSIGBW,28.829
12/31/1396,CMSIGBW,34.595
12/31/1397,CMSIGBW,34.595
12/31/1398,CMSIGBW,34.595
12/31/1399,CMSIGBW,34.595
12/31/1400,CMSIGBW,34.595
12/31/1401,CMSIGBW,34.595
12/31/1402,CMSIGBW,34.595
12/31/1403,CMSIGBW,34.595
12/31/1404,CMSIGBW,34.595
12/31/1405,CMSIGBW,34.595
12/31/1406,CMSIGBW,34.595
12/31/1407,CMSIGBW,34.595
12/31/1408,CMSIGBW,34.595
12/31/1409,CMSIGBW,34.595
12/31/1410,CMSIGBW,34.595
12/31/1411,CMSIGBW,34.595
12/31/1412,CMSIGBW,34.595
12/31/1413,CMSIGBW,34.595
12/31/1414,CMSIGBW,34.595
12/31/1415,CMSIGBW,34.595
12/31/1416,CMSIGBW,34.595
12/31/1417,CMSIGBW,34.595
12/31/1418,CMSIGBW,34.595
12/31/1419,CMSIGBW,34.595
12/31/1420,CMSIGBW,34.595
12/31/1421,CMSIGBW,34.595
12/31/1422,CMSIGBW,34.595
12/31/1423,CMSIGBW,34.595
12/31/1424,CMSIGBW,34.595
12/31/1425,CMSIGBW,34.595
12/31/1426,CMSIGBW,34.595
12/31/1427,CMSIGBW,34.595
12/31/1428,CMSIGBW,34.595
12/31/1429,CMSIGBW,34.595
12/31/1430,CMSIGBW,34.595
12/31/1431,CMSIGBW,34.595
12/31/1432,CMSIGBW,34.595
12/31/1433,CMSIGBW,34.595
12/31/1434,CMSIGBW,34.595
12/31/1435,CMSIGBW,34.595
12/31/1436,CMSIGBW,34.595
12/31/1437,CMSIGBW,34.595
12/31/1438,CMSIGBW,34.595
12/31/1439,CMSIGBW,34.595
12/31/1440,CMSIGBW,34.595
12/31/1441,CMSIGBW,34.595
12/31/1442,CMSIGBW,34.595
12/31/1443,CMSIGBW,34.595
12/31/1444,CMSIGBW,34.595
12/31/1445,CMSIGBW,34.595
12/31/1446,CMSIGBW,34.595
12/31/1447,CMSIGBW,34.595
12/31/1448,CMSIGBW,34.595
12/31/1449,CMSIGBW,43.243
12/31/1450,CMSIGBW,43.243
